Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
5,24,/app/Datasets/AI4griculture/test/images/1597913693056.jpg,640,640,3,27.0
6,24,/app/Datasets/AI4griculture/test/images/1597922717216.jpg,640,640,2,27.4
7,24,/app/Datasets/AI4griculture/test/images/1597923601769.jpg,640,640,1,26.7
8,24,/app/Datasets/AI4griculture/test/images/1597923993611.jpg,640,640,2,26.0
9,24,/app/Datasets/AI4griculture/test/images/1597924240796.jpg,640,640,1,28.0
11,24,/app/Datasets/AI4griculture/test/images/1597934907942.jpg,640,640,1,25.6
12,24,/app/Datasets/AI4griculture/test/images/1598001129497.jpg,640,640,4,26.9
13,24,/app/Datasets/AI4griculture/test/images/1598008270411.jpg,640,640,8,27.1
14,24,/app/Datasets/AI4griculture/test/images/1598011515988.jpg,640,640,18,31.3
15,24,/app/Datasets/AI4griculture/test/images/1598012068631.jpg,640,640,6,27.0
17,24,/app/Datasets/AI4griculture/test/images/1598343615131.jpg,640,640,1,28.9
19,24,/app/Datasets/AI4griculture/test/images/1599031182869.jpg,640,640,2,28.5
20,24,/app/Datasets/AI4griculture/test/images/1600245553180.jpg,640,640,1,30.6
21,24,/app/Datasets/AI4griculture/test/images/1601969690309.jpg,640,640,6,31.1
22,24,/app/Datasets/AI4griculture/test/images/1601980429759.jpg,640,640,2,31.6
24,24,/app/Datasets/AI4griculture/test/images/1606994877322.jpg,640,640,1,31.7
