Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png,640,640,3,36.2
2,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png,640,640,2,30.0
3,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/104.png,640,640,4,30.4
4,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png,640,640,2,30.0
5,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png,640,640,1,31.9
6,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png,640,640,3,27.8
7,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/111.png,640,640,4,28.5
8,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png,640,640,2,30.2
9,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png,640,640,2,29.3
10,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png,640,640,3,30.4
11,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png,640,640,1,30.6
12,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png,640,640,3,33.4
13,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png,640,640,2,32.2
14,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png,640,640,5,32.4
15,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png,640,640,3,32.0
16,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png,640,640,2,32.6
17,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png,640,640,2,33.2
18,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png,640,640,1,31.2
19,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png,640,640,5,31.2
20,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png,640,640,3,31.3
21,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png,640,640,2,30.6
22,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png,640,640,1,34.9
23,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png,640,640,2,30.9
24,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png,640,640,3,30.9
25,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png,640,640,4,31.2
26,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png,640,640,1,32.6
27,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png,640,640,1,30.8
28,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png,640,640,1,31.2
29,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png,640,640,1,33.0
30,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png,640,640,1,32.1
31,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/13.png,640,640,3,30.0
32,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png,640,640,2,31.7
33,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png,640,640,6,31.7
34,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png,640,640,1,31.4
35,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png,640,640,6,31.1
36,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png,640,640,3,30.8
37,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png,640,640,1,31.0
38,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png,640,640,2,31.1
39,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png,640,640,1,31.0
40,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1389.png,640,640,3,30.4
41,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/139.png,640,640,5,30.6
42,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1413.png,640,640,2,34.7
43,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1414.png,640,640,4,32.4
44,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1421.png,640,640,1,31.3
45,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1430.png,640,640,2,30.7
46,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1442.png,640,640,2,33.0
47,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1452.png,640,640,2,31.2
48,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1482.png,640,640,2,32.7
49,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1488.png,640,640,5,31.4
50,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1489.png,640,640,2,31.4
51,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1503.png,640,640,8,30.7
52,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1526.png,640,640,8,31.3
53,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1538.png,640,640,5,32.5
54,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1545.png,640,640,4,31.1
55,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1551.png,640,640,4,31.4
56,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1554.png,640,640,3,32.4
57,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1557.png,640,640,5,31.7
58,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1561.png,640,640,5,32.8
59,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/157.png,640,640,7,31.5
60,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1570.png,640,640,4,31.3
61,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/158.png,640,640,8,31.7
62,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1581.png,640,640,5,33.2
63,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1614.png,640,640,1,33.7
64,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1634.png,640,640,6,33.8
65,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1644.png,640,640,10,31.2
66,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1657.png,640,640,2,31.3
67,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1659.png,640,640,2,30.4
68,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1662.png,640,640,5,29.8
69,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1682.png,640,640,9,30.1
70,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1683.png,640,640,2,30.7
71,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1698.png,640,640,6,31.1
72,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1707.png,640,640,3,31.4
73,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1714.png,640,640,7,31.3
74,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1736.png,640,640,3,31.1
75,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1746.png,640,640,2,30.7
76,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1764.png,640,640,4,31.0
77,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1765.png,640,640,5,31.2
78,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/177.png,640,640,5,29.8
79,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/18.png,640,640,4,29.6
80,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1818.png,640,640,6,30.6
81,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1841.png,640,640,2,30.7
