Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,83,/app/Datasets/Grapes/test/images/106.jpg,640,640,1,33.2
2,83,/app/Datasets/Grapes/test/images/11.jpg,640,640,2,28.9
3,83,/app/Datasets/Grapes/test/images/113.jpg,640,640,2,29.5
4,83,/app/Datasets/Grapes/test/images/130.jpg,640,640,2,30.4
5,83,/app/Datasets/Grapes/test/images/149.jpg,640,640,1,30.3
6,83,/app/Datasets/Grapes/test/images/179.jpg,640,640,2,30.9
7,83,/app/Datasets/Grapes/test/images/195.jpg,640,640,1,31.3
8,83,/app/Datasets/Grapes/test/images/211.jpg,640,640,3,31.3
9,83,/app/Datasets/Grapes/test/images/218.jpg,640,640,1,30.9
10,83,/app/Datasets/Grapes/test/images/248.jpg,640,640,2,30.2
11,83,/app/Datasets/Grapes/test/images/257.jpg,640,640,3,30.4
12,83,/app/Datasets/Grapes/test/images/26.jpg,640,640,1,30.7
13,83,/app/Datasets/Grapes/test/images/268.jpg,640,640,2,31.0
14,83,/app/Datasets/Grapes/test/images/279.jpg,640,640,1,30.1
15,83,/app/Datasets/Grapes/test/images/288.jpg,640,640,1,30.4
16,83,/app/Datasets/Grapes/test/images/302.jpg,640,640,2,31.3
17,83,/app/Datasets/Grapes/test/images/303.jpg,640,640,1,31.2
18,83,/app/Datasets/Grapes/test/images/309.jpg,640,640,1,30.6
19,83,/app/Datasets/Grapes/test/images/319.jpg,640,640,4,30.5
20,83,/app/Datasets/Grapes/test/images/320.jpg,640,640,4,30.7
21,83,/app/Datasets/Grapes/test/images/35.jpg,640,640,11,31.0
22,83,/app/Datasets/Grapes/test/images/350.jpg,640,640,2,31.0
23,83,/app/Datasets/Grapes/test/images/36.jpg,640,640,6,30.3
24,83,/app/Datasets/Grapes/test/images/360.jpg,640,640,1,30.6
25,83,/app/Datasets/Grapes/test/images/361.jpg,640,640,2,34.2
26,83,/app/Datasets/Grapes/test/images/362.jpg,640,640,1,31.4
27,83,/app/Datasets/Grapes/test/images/363.jpg,640,640,7,32.3
28,83,/app/Datasets/Grapes/test/images/364.jpg,640,640,1,32.6
29,83,/app/Datasets/Grapes/test/images/377.jpg,640,640,3,31.9
30,83,/app/Datasets/Grapes/test/images/395.jpg,640,640,2,30.9
31,83,/app/Datasets/Grapes/test/images/453.jpg,640,640,2,31.7
32,83,/app/Datasets/Grapes/test/images/46.jpg,640,640,3,31.2
33,83,/app/Datasets/Grapes/test/images/465.jpg,640,640,2,30.8
34,83,/app/Datasets/Grapes/test/images/466.jpg,640,640,3,31.4
35,83,/app/Datasets/Grapes/test/images/488.jpg,640,640,1,32.3
36,83,/app/Datasets/Grapes/test/images/489.jpg,640,640,1,32.3
37,83,/app/Datasets/Grapes/test/images/492.jpg,640,640,1,31.3
38,83,/app/Datasets/Grapes/test/images/509.jpg,640,640,3,31.2
39,83,/app/Datasets/Grapes/test/images/53.jpg,640,640,4,31.9
40,83,/app/Datasets/Grapes/test/images/539.jpg,640,640,4,31.5
41,83,/app/Datasets/Grapes/test/images/548.jpg,640,640,2,30.7
42,83,/app/Datasets/Grapes/test/images/558.jpg,640,640,2,31.2
43,83,/app/Datasets/Grapes/test/images/58.jpg,640,640,1,32.6
44,83,/app/Datasets/Grapes/test/images/580.jpg,640,640,5,31.3
45,83,/app/Datasets/Grapes/test/images/589.jpg,640,640,5,30.7
46,83,/app/Datasets/Grapes/test/images/591.jpg,640,640,3,31.3
47,83,/app/Datasets/Grapes/test/images/611.jpg,640,640,3,36.2
48,83,/app/Datasets/Grapes/test/images/613.jpg,640,640,2,31.4
49,83,/app/Datasets/Grapes/test/images/621.jpg,640,640,4,30.3
50,83,/app/Datasets/Grapes/test/images/623.jpg,640,640,3,31.2
51,83,/app/Datasets/Grapes/test/images/626.jpg,640,640,1,30.8
52,83,/app/Datasets/Grapes/test/images/63.jpg,640,640,2,38.8
