Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,96,/app/Datasets/Green_grapes/test/images/105.png,640,640,3,36.8
2,96,/app/Datasets/Green_grapes/test/images/116.png,640,640,3,28.9
3,96,/app/Datasets/Green_grapes/test/images/140.png,640,640,2,27.5
4,96,/app/Datasets/Green_grapes/test/images/176.png,640,640,1,27.1
5,96,/app/Datasets/Green_grapes/test/images/179.png,640,640,2,26.5
6,96,/app/Datasets/Green_grapes/test/images/189.png,640,640,3,26.3
7,96,/app/Datasets/Green_grapes/test/images/192.png,640,640,4,26.5
8,96,/app/Datasets/Green_grapes/test/images/193.png,640,640,4,25.7
9,96,/app/Datasets/Green_grapes/test/images/199.png,640,640,4,28.3
10,96,/app/Datasets/Green_grapes/test/images/24.png,640,640,7,25.6
11,96,/app/Datasets/Green_grapes/test/images/280.png,640,640,1,25.8
12,96,/app/Datasets/Green_grapes/test/images/281.png,640,640,3,26.0
13,96,/app/Datasets/Green_grapes/test/images/282.png,640,640,4,26.0
14,96,/app/Datasets/Green_grapes/test/images/300.png,640,640,2,25.7
15,96,/app/Datasets/Green_grapes/test/images/302.png,640,640,2,26.2
16,96,/app/Datasets/Green_grapes/test/images/303.png,640,640,4,25.9
17,96,/app/Datasets/Green_grapes/test/images/307.png,640,640,3,26.1
18,96,/app/Datasets/Green_grapes/test/images/31.png,640,640,6,25.9
19,96,/app/Datasets/Green_grapes/test/images/310.png,640,640,2,25.8
20,96,/app/Datasets/Green_grapes/test/images/316.png,640,640,7,28.5
21,96,/app/Datasets/Green_grapes/test/images/323.png,640,640,5,26.8
22,96,/app/Datasets/Green_grapes/test/images/325.png,640,640,3,25.9
23,96,/app/Datasets/Green_grapes/test/images/333.png,640,640,2,26.7
24,96,/app/Datasets/Green_grapes/test/images/339.png,640,640,3,26.3
25,96,/app/Datasets/Green_grapes/test/images/342.png,640,640,4,26.7
26,96,/app/Datasets/Green_grapes/test/images/345.png,640,640,3,26.6
27,96,/app/Datasets/Green_grapes/test/images/350.png,640,640,3,26.1
28,96,/app/Datasets/Green_grapes/test/images/362.png,640,640,7,27.1
29,96,/app/Datasets/Green_grapes/test/images/373.png,640,640,6,27.1
30,96,/app/Datasets/Green_grapes/test/images/379.png,640,640,3,26.4
31,96,/app/Datasets/Green_grapes/test/images/389.png,640,640,4,25.7
32,96,/app/Datasets/Green_grapes/test/images/420.png,640,640,6,25.9
33,96,/app/Datasets/Green_grapes/test/images/428.png,640,640,3,25.5
34,96,/app/Datasets/Green_grapes/test/images/430.png,640,640,6,27.1
35,96,/app/Datasets/Green_grapes/test/images/434.png,640,640,4,26.6
36,96,/app/Datasets/Green_grapes/test/images/442.png,640,640,5,26.1
37,96,/app/Datasets/Green_grapes/test/images/452.png,640,640,9,43.3
38,96,/app/Datasets/Green_grapes/test/images/457.png,640,640,4,26.9
39,96,/app/Datasets/Green_grapes/test/images/464.png,640,640,6,26.7
40,96,/app/Datasets/Green_grapes/test/images/472.png,640,640,2,26.4
41,96,/app/Datasets/Green_grapes/test/images/479.png,640,640,7,27.0
42,96,/app/Datasets/Green_grapes/test/images/486.png,640,640,5,27.4
43,96,/app/Datasets/Green_grapes/test/images/491.png,640,640,3,26.0
44,96,/app/Datasets/Green_grapes/test/images/500.png,640,640,3,25.5
45,96,/app/Datasets/Green_grapes/test/images/503.png,640,640,4,27.0
46,96,/app/Datasets/Green_grapes/test/images/508.png,640,640,3,26.7
47,96,/app/Datasets/Green_grapes/test/images/530.png,640,640,5,27.1
48,96,/app/Datasets/Green_grapes/test/images/540.png,640,640,3,26.4
49,96,/app/Datasets/Green_grapes/test/images/546.png,640,640,5,26.8
50,96,/app/Datasets/Green_grapes/test/images/547.png,640,640,6,25.2
51,96,/app/Datasets/Green_grapes/test/images/55.png,640,640,6,24.2
52,96,/app/Datasets/Green_grapes/test/images/563.png,640,640,6,25.8
53,96,/app/Datasets/Green_grapes/test/images/569.png,640,640,6,25.7
54,96,/app/Datasets/Green_grapes/test/images/573.png,640,640,4,27.0
55,96,/app/Datasets/Green_grapes/test/images/597.png,640,640,3,25.7
