Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,100,/app/Datasets/Purple_grapes/test/images/1002.png,640,640,1,33.4
2,100,/app/Datasets/Purple_grapes/test/images/1029.png,640,640,2,28.9
3,100,/app/Datasets/Purple_grapes/test/images/1038.png,640,640,5,26.3
4,100,/app/Datasets/Purple_grapes/test/images/1073.png,640,640,4,26.4
5,100,/app/Datasets/Purple_grapes/test/images/1083.png,640,640,3,28.6
6,100,/app/Datasets/Purple_grapes/test/images/1100.png,640,640,6,25.8
7,100,/app/Datasets/Purple_grapes/test/images/1112.png,640,640,5,25.4
8,100,/app/Datasets/Purple_grapes/test/images/1118.png,640,640,4,26.1
9,100,/app/Datasets/Purple_grapes/test/images/1143.png,640,640,2,25.7
10,100,/app/Datasets/Purple_grapes/test/images/1156.png,640,640,2,25.8
11,100,/app/Datasets/Purple_grapes/test/images/1175.png,640,640,6,28.9
12,100,/app/Datasets/Purple_grapes/test/images/1179.png,640,640,8,26.5
13,100,/app/Datasets/Purple_grapes/test/images/1182.png,640,640,1,25.8
14,100,/app/Datasets/Purple_grapes/test/images/1184.png,640,640,6,25.2
15,100,/app/Datasets/Purple_grapes/test/images/1185.png,640,640,4,25.2
16,100,/app/Datasets/Purple_grapes/test/images/1188.png,640,640,5,25.5
17,100,/app/Datasets/Purple_grapes/test/images/1194.png,640,640,5,25.7
18,100,/app/Datasets/Purple_grapes/test/images/1197.png,640,640,3,25.7
19,100,/app/Datasets/Purple_grapes/test/images/1207.png,640,640,2,25.5
20,100,/app/Datasets/Purple_grapes/test/images/1209.png,640,640,7,26.0
21,100,/app/Datasets/Purple_grapes/test/images/1214.png,640,640,2,25.8
22,100,/app/Datasets/Purple_grapes/test/images/1229.png,640,640,4,25.4
23,100,/app/Datasets/Purple_grapes/test/images/1231.png,640,640,3,25.7
24,100,/app/Datasets/Purple_grapes/test/images/1232.png,640,640,3,27.3
25,100,/app/Datasets/Purple_grapes/test/images/1275.png,640,640,3,26.7
26,100,/app/Datasets/Purple_grapes/test/images/1286.png,640,640,4,26.2
27,100,/app/Datasets/Purple_grapes/test/images/1304.png,640,640,4,27.1
28,100,/app/Datasets/Purple_grapes/test/images/1310.png,640,640,7,26.0
29,100,/app/Datasets/Purple_grapes/test/images/1314.png,640,640,5,26.5
30,100,/app/Datasets/Purple_grapes/test/images/1315.png,640,640,5,25.7
31,100,/app/Datasets/Purple_grapes/test/images/1318.png,640,640,5,25.8
32,100,/app/Datasets/Purple_grapes/test/images/1325.png,640,640,8,26.4
33,100,/app/Datasets/Purple_grapes/test/images/1335.png,640,640,5,26.3
34,100,/app/Datasets/Purple_grapes/test/images/1336.png,640,640,3,25.7
35,100,/app/Datasets/Purple_grapes/test/images/1346.png,640,640,2,25.9
36,100,/app/Datasets/Purple_grapes/test/images/1359.png,640,640,7,26.1
37,100,/app/Datasets/Purple_grapes/test/images/1378.png,640,640,7,25.7
38,100,/app/Datasets/Purple_grapes/test/images/1396.png,640,640,6,30.8
39,100,/app/Datasets/Purple_grapes/test/images/1410.png,640,640,9,27.0
40,100,/app/Datasets/Purple_grapes/test/images/1416.png,640,640,3,27.5
41,100,/app/Datasets/Purple_grapes/test/images/1436.png,640,640,7,26.7
42,100,/app/Datasets/Purple_grapes/test/images/1439.png,640,640,5,25.2
43,100,/app/Datasets/Purple_grapes/test/images/1455.png,640,640,4,26.7
44,100,/app/Datasets/Purple_grapes/test/images/1457.png,640,640,4,26.3
45,100,/app/Datasets/Purple_grapes/test/images/1473.png,640,640,6,25.2
46,100,/app/Datasets/Purple_grapes/test/images/1481.png,640,640,4,27.7
